Handle,Title,Category,Option1 Value,Option2 Value,product number,Variant Inventory Qty,Product price
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Air,Bumper Case (MagSafe),KD51658,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro,Jelly Case,KD51659,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case,KD51660,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case (MagSafe),KD51661,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro Max,Jelly Case,KD51662,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case,KD51663,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case (MagSafe),KD51664,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16,Jelly Case,KD51665,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16,Bumper Case,KD51666,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16,Bumper Case (MagSafe),KD51667,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro,Jelly Case,KD51668,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case,KD51669,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case (MagSafe),KD51670,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Plus,Jelly Case,KD51671,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case,KD51672,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case (MagSafe),KD51673,199,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro Max,Jelly Case,KD51674,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case,KD51675,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case (MagSafe),KD51676,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15,Jelly Case,KD51677,199,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15,Bumper Case,KD51678,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15,Bumper Case (MagSafe),KD51679,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro,Jelly Case,KD51680,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro,Bumper Case,KD51681,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro,Bumper Case (MagSafe),KD51682,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Plus,Jelly Case,KD51683,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Plus,Bumper Case,KD51684,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Plus,Bumper Case (MagSafe),KD51685,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro Max,Jelly Case,KD51686,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro Max,Bumper Case,KD51687,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 15 Pro Max,Bumper Case (MagSafe),KD51688,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14,Jelly Case,KD51689,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14,Bumper Case,KD51690,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14,Bumper Case (MagSafe),KD51691,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro,Jelly Case,KD51692,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case,KD51693,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case (MagSafe),KD51694,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Plus,Jelly Case,KD51695,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case,KD51696,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case (MagSafe),KD51697,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro Max,Jelly Case,KD51698,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case,KD51699,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case (MagSafe),KD51700,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13,Jelly Case,KD51701,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13,Bumper Case,KD51702,200,16.99
